zone_id,zone_name,lat,lng,district,zone_type,hour_of_day,day_of_week,is_weekend,crime_count_normalized,police_coverage_score,street_light_score,metro_access_score,footfall_score,sentiment_score,safety_score
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,0,0,0,0.7345,0.844,0.4,0.888,0.264,0.186,48.61
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,1,0,0,0.7345,0.844,0.4,0.888,0.342,0.156,46.15
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,2,0,0,0.7345,0.844,0.4,0.888,0.339,0.179,47.86
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,3,0,0,0.7345,0.844,0.4,0.888,0.321,0.27,50.32
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,4,0,0,0.7345,0.844,0.4,0.888,0.289,0.179,49.41
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,5,0,0,0.7345,0.844,0.4,0.888,0.409,0.391,54.49
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,6,0,0,0.7345,0.844,0.4,0.888,0.49,0.428,58.83
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,7,0,0,0.7345,0.844,0.4,0.888,0.46,0.47,56.83
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,8,0,0,0.7345,0.844,0.4,0.888,0.464,0.466,58.02
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,9,0,0,0.7345,0.844,0.4,0.888,0.493,0.454,59.11
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,10,0,0,0.7345,0.844,0.4,0.888,0.702,0.495,63.24
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,11,0,0,0.7345,0.844,0.4,0.888,0.71,0.338,58.34
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,12,0,0,0.7345,0.844,0.4,0.888,0.798,0.338,57.44
