zone_id,zone_name,lat,lng,district,zone_type,annual_crime_count,police_coverage_score,street_light_score,metro_access_score
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,331.5,0.844,0.4,0.888
DL_002,Paharganj,28.6438,77.212,Central Delhi,Commercial,365.7,0.563,0.529,0.851
DL_003,Karol Bagh,28.6519,77.1909,Central Delhi,Commercial,370.3,0.414,0.536,0.817
DL_004,Connaught Place,28.6315,77.2167,New Delhi,Commercial,163.6,0.805,0.799,0.977
DL_005,Nehru Place,28.5491,77.251,South Delhi,Commercial,308.4,0.458,0.268,0.946
DL_006,Lajpat Nagar,28.5677,77.2433,South Delhi,Residential,207.9,0.699,0.368,0.782
DL_007,Greater Kailash,28.538,77.231,South Delhi,Residential,159.6,0.853,0.938,0.758
DL_008,Saket,28.5244,77.209,South Delhi,Residential,137.8,0.631,0.831,0.811
DL_009,Vasant Kunj,28.52,77.157,South West Delhi,Residential,127.1,0.61,0.631,0.235
DL_010,Dwarka,28.5921,77.046,South West Delhi,Residential,234.3,0.522,0.859,0.897
DL_011,Rohini,28.738,77.105,North West Delhi,Residential,238.8,0.554,0.806,0.848
DL_012,Pitampura,28.702,77.131,North West Delhi,Residential,203.4,0.592,0.81,0.87
DL_013,Janakpuri,28.6286,77.084,West Delhi,Residential,244.7,0.49,0.366,0.858
DL_014,Rajouri Garden,28.647,77.121,West Delhi,Residential,230.1,0.448,0.38,0.99
DL_015,Uttam Nagar,28.62,77.059,West Delhi,Residential,222.2,0.48,0.509,0.996
DL_016,Tilak Nagar,28.6411,77.103,West Delhi,Residential,218.4,0.466,0.529,0.036
DL_017,Shahdara,28.67,77.292,Shahdara,Residential,231.6,0.397,0.54,0.039
DL_018,Preet Vihar,28.6425,77.296,Shahdara,Residential,217.4,0.551,0.339,0.901
DL_019,Vivek Vihar,28.671,77.314,Shahdara,Residential,162.2,0.591,0.287,0.357
DL_020,Patparganj,28.627,77.296,East Delhi,Residential,195.2,0.535,0.64,0.996
DL_021,Mayur Vihar,28.6075,77.295,East Delhi,Residential,197.0,0.7,0.273,0.796
DL_022,Laxmi Nagar,28.6328,77.2779,East Delhi,Commercial,193.1,0.619,0.402,0.966
DL_023,Geeta Colony,28.655,77.272,East Delhi,Residential,243.2,0.366,0.579,0.151
DL_024,Seemapuri,28.689,77.323,Shahdara,Residential,286.9,0.639,0.551,0.001
DL_025,Mustafabad,28.716,77.301,North East Delhi,Residential,258.2,0.589,0.61,0.249
DL_026,Bhajanpura,28.698,77.281,North East Delhi,Residential,227.2,0.562,0.595,0.061
DL_027,Welcome Colony,28.683,77.292,North East Delhi,Residential,286.3,0.436,0.378,0.255
DL_028,Seelampur,28.672,77.278,North East Delhi,Residential,291.8,0.623,0.356,0.129
DL_029,Yamuna Vihar,28.702,77.292,North East Delhi,Residential,294.1,0.592,0.442,0.342
DL_030,Burari,28.745,77.21,North Delhi,Residential,206.9,0.459,0.466,0.117
DL_031,Model Town,28.715,77.194,North Delhi,Residential,205.2,0.411,0.943,0.302
DL_032,Civil Lines,28.69,77.223,North Delhi,Residential,210.2,0.752,0.649,0.1
DL_033,Sadar Bazaar,28.662,77.205,Central Delhi,Commercial,451.3,0.468,0.409,0.374
DL_034,Patel Nagar,28.658,77.17,Central Delhi,Residential,253.1,0.456,0.508,0.249
DL_035,Rajinder Nagar,28.649,77.184,Central Delhi,Residential,263.6,0.428,0.283,0.25
DL_036,Naraina,28.628,77.151,West Delhi,Industrial,261.1,0.592,0.457,0.306
DL_037,Moti Nagar,28.66,77.151,West Delhi,Residential,268.0,0.548,0.326,0.309
DL_038,Kirti Nagar,28.656,77.141,West Delhi,Residential,228.7,0.557,0.635,0.041
DL_039,Punjabi Bagh,28.668,77.132,West Delhi,Residential,291.8,0.477,0.6,0.181
DL_040,Paschim Vihar,28.683,77.098,West Delhi,Residential,213.2,0.665,0.328,0.392
DL_041,Shalimar Bagh,28.716,77.159,North West Delhi,Residential,189.5,0.535,0.593,0.293
DL_042,Ashok Vihar,28.699,77.175,North West Delhi,Residential,211.8,0.637,0.251,0.283
DL_043,Wazirpur,28.701,77.163,North West Delhi,Industrial,197.8,0.36,0.613,0.039
DL_044,Azadpur,28.72,77.185,North Delhi,Commercial,232.5,0.366,0.5,0.387
DL_045,Mukherjee Nagar,28.706,77.209,North Delhi,Commercial,235.4,0.522,0.632,0.793
DL_046,GTB Nagar,28.701,77.202,North Delhi,Residential,167.6,0.7,0.446,0.4
DL_047,Kamla Nagar,28.687,77.206,North Delhi,Commercial,219.0,0.413,0.384,0.131
DL_048,Kashmere Gate,28.668,77.228,North Delhi,Commercial,296.9,0.452,0.492,0.333
DL_049,Daryaganj,28.644,77.244,Central Delhi,Commercial,373.9,0.617,0.522,0.178
DL_050,Jangpura,28.588,77.246,South Delhi,Residential,118.3,0.398,0.444,0.377
DL_051,Defence Colony,28.5718,77.2331,South Delhi,Residential,175.6,0.862,0.802,0.072
DL_052,South Extension,28.568,77.223,South Delhi,Commercial,224.3,0.65,0.863,0.362
DL_053,Green Park,28.558,77.207,South Delhi,Residential,204.6,0.414,0.607,0.356
DL_054,Hauz Khas,28.5494,77.2001,South Delhi,Commercial,267.8,0.446,0.729,0.921
DL_055,Malviya Nagar,28.5293,77.198,South Delhi,Residential,129.4,0.37,0.407,0.331
DL_056,Mehrauli,28.5245,77.1868,South West Delhi,Residential,213.4,0.464,0.408,0.198
DL_057,Vasant Vihar,28.5668,77.1606,South West Delhi,Residential,114.2,0.768,0.723,0.027
DL_058,Munirka,28.5603,77.1725,South West Delhi,Residential,152.5,0.441,0.483,0.36
DL_059,R K Puram,28.5681,77.178,South West Delhi,Residential,207.4,0.696,0.287,0.078
DL_060,Palam,28.5983,77.0742,South West Delhi,Residential,160.8,0.394,0.489,0.345
DL_061,Mahipalpur,28.5447,77.1169,South West Delhi,Residential,162.4,0.598,0.589,0.016
DL_062,Kapashera,28.5105,77.0817,South West Delhi,Industrial,207.1,0.589,0.459,0.035
DL_063,Najafgarh,28.6092,76.9794,South West Delhi,Residential,145.7,0.474,0.55,0.342
DL_064,Badarpur,28.5021,77.2912,South Delhi,Residential,147.0,0.606,0.26,0.029
DL_065,Okhla,28.535,77.276,South Delhi,Industrial,194.5,0.621,0.556,0.107
DL_066,Jasola,28.5437,77.2913,South Delhi,Residential,160.2,0.513,0.631,0.014
DL_067,Kalkaji,28.531,77.259,South Delhi,Residential,159.9,0.505,0.277,0.09
DL_068,Govindpuri,28.5211,77.2636,South Delhi,Residential,170.9,0.596,0.571,0.033
DL_069,Tughlakabad,28.504,77.252,South Delhi,Residential,157.4,0.583,0.373,0.074
DL_070,Sangam Vihar,28.5083,77.2286,South Delhi,Residential,173.8,0.631,0.426,0.368
