zone_name,lat,lng,district,zone_type,zone_id
Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,DL_001
Paharganj,28.6438,77.212,Central Delhi,Commercial,DL_002
Karol Bagh,28.6519,77.1909,Central Delhi,Commercial,DL_003
Connaught Place,28.6315,77.2167,New Delhi,Commercial,DL_004
Nehru Place,28.5491,77.251,South Delhi,Commercial,DL_005
Lajpat Nagar,28.5677,77.2433,South Delhi,Residential,DL_006
Greater Kailash,28.538,77.231,South Delhi,Residential,DL_007
Saket,28.5244,77.209,South Delhi,Residential,DL_008
Vasant Kunj,28.52,77.157,South West Delhi,Residential,DL_009
Dwarka,28.5921,77.046,South West Delhi,Residential,DL_010
Rohini,28.738,77.105,North West Delhi,Residential,DL_011
Pitampura,28.702,77.131,North West Delhi,Residential,DL_012
Janakpuri,28.6286,77.084,West Delhi,Residential,DL_013
Rajouri Garden,28.647,77.121,West Delhi,Residential,DL_014
Uttam Nagar,28.62,77.059,West Delhi,Residential,DL_015
Tilak Nagar,28.6411,77.103,West Delhi,Residential,DL_016
Shahdara,28.67,77.292,Shahdara,Residential,DL_017
Preet Vihar,28.6425,77.296,Shahdara,Residential,DL_018
Vivek Vihar,28.671,77.314,Shahdara,Residential,DL_019
Patparganj,28.627,77.296,East Delhi,Residential,DL_020
Mayur Vihar,28.6075,77.295,East Delhi,Residential,DL_021
Laxmi Nagar,28.6328,77.2779,East Delhi,Commercial,DL_022
Geeta Colony,28.655,77.272,East Delhi,Residential,DL_023
Seemapuri,28.689,77.323,Shahdara,Residential,DL_024
Mustafabad,28.716,77.301,North East Delhi,Residential,DL_025
Bhajanpura,28.698,77.281,North East Delhi,Residential,DL_026
Welcome Colony,28.683,77.292,North East Delhi,Residential,DL_027
Seelampur,28.672,77.278,North East Delhi,Residential,DL_028
Yamuna Vihar,28.702,77.292,North East Delhi,Residential,DL_029
Burari,28.745,77.21,North Delhi,Residential,DL_030
Model Town,28.715,77.194,North Delhi,Residential,DL_031
Civil Lines,28.69,77.223,North Delhi,Residential,DL_032
Sadar Bazaar,28.662,77.205,Central Delhi,Commercial,DL_033
Patel Nagar,28.658,77.17,Central Delhi,Residential,DL_034
Rajinder Nagar,28.649,77.184,Central Delhi,Residential,DL_035
Naraina,28.628,77.151,West Delhi,Industrial,DL_036
Moti Nagar,28.66,77.151,West Delhi,Residential,DL_037
Kirti Nagar,28.656,77.141,West Delhi,Residential,DL_038
Punjabi Bagh,28.668,77.132,West Delhi,Residential,DL_039
Paschim Vihar,28.683,77.098,West Delhi,Residential,DL_040
Shalimar Bagh,28.716,77.159,North West Delhi,Residential,DL_041
Ashok Vihar,28.699,77.175,North West Delhi,Residential,DL_042
Wazirpur,28.701,77.163,North West Delhi,Industrial,DL_043
Azadpur,28.72,77.185,North Delhi,Commercial,DL_044
Mukherjee Nagar,28.706,77.209,North Delhi,Commercial,DL_045
GTB Nagar,28.701,77.202,North Delhi,Residential,DL_046
Kamla Nagar,28.687,77.206,North Delhi,Commercial,DL_047
Kashmere Gate,28.668,77.228,North Delhi,Commercial,DL_048
Daryaganj,28.644,77.244,Central Delhi,Commercial,DL_049
Jangpura,28.588,77.246,South Delhi,Residential,DL_050
Defence Colony,28.5718,77.2331,South Delhi,Residential,DL_051
South Extension,28.568,77.223,South Delhi,Commercial,DL_052
Green Park,28.558,77.207,South Delhi,Residential,DL_053
Hauz Khas,28.5494,77.2001,South Delhi,Commercial,DL_054
Malviya Nagar,28.5293,77.198,South Delhi,Residential,DL_055
Mehrauli,28.5245,77.1868,South West Delhi,Residential,DL_056
Vasant Vihar,28.5668,77.1606,South West Delhi,Residential,DL_057
Munirka,28.5603,77.1725,South West Delhi,Residential,DL_058
R K Puram,28.5681,77.178,South West Delhi,Residential,DL_059
Palam,28.5983,77.0742,South West Delhi,Residential,DL_060
Mahipalpur,28.5447,77.1169,South West Delhi,Residential,DL_061
Kapashera,28.5105,77.0817,South West Delhi,Industrial,DL_062
Najafgarh,28.6092,76.9794,South West Delhi,Residential,DL_063
Badarpur,28.5021,77.2912,South Delhi,Residential,DL_064
Okhla,28.535,77.276,South Delhi,Industrial,DL_065
Jasola,28.5437,77.2913,South Delhi,Residential,DL_066
Kalkaji,28.531,77.259,South Delhi,Residential,DL_067
Govindpuri,28.5211,77.2636,South Delhi,Residential,DL_068
Tughlakabad,28.504,77.252,South Delhi,Residential,DL_069
Sangam Vihar,28.5083,77.2286,South Delhi,Residential,DL_070
